sample_id,input_chamfer_distance,input_gaussian_distance,input_pmse_2,input_pmse_4,input_rf1,input_tf1,input_tpf1,inputefr_chamfer_distance,inputefr_gaussian_distance,inputefr_pmse_2,inputefr_pmse_4,inputefr_rf1,inputefr_tf1,inputefr_tpf1,inputpfda_chamfer_distance,inputpfda_gaussian_distance,inputpfda_pmse_2,inputpfda_pmse_4,inputpfda_rf1,inputpfda_tf1,inputpfda_tpf1,inputpfdb_chamfer_distance,inputpfdb_gaussian_distance,inputpfdb_pmse_2,inputpfdb_pmse_4,inputpfdb_rf1,inputpfdb_tf1,inputpfdb_tpf1,output_full_chamfer_distance,output_full_gaussian_distance,output_full_pmse_2,output_full_pmse_4,output_full_rf1,output_full_tf1,output_full_tpf1,output_full_old_chamfer_distance,output_full_old_gaussian_distance,output_full_old_pmse_2,output_full_old_pmse_4,output_full_old_rf1,output_full_old_tf1,output_full_old_tpf1,output_simple_chamfer_distance,output_simple_gaussian_distance,output_simple_pmse_2,output_simple_pmse_4,output_simple_rf1,output_simple_tf1,output_simple_tpf1,output_simple_old_chamfer_distance,output_simple_old_gaussian_distance,output_simple_old_pmse_2,output_simple_old_pmse_4,output_simple_old_rf1,output_simple_old_tf1,output_simple_old_tpf1,outputbaseline_chamfer_distance,outputbaseline_gaussian_distance,outputbaseline_pmse_2,outputbaseline_pmse_4,outputbaseline_rf1,outputbaseline_tf1,outputbaseline_tpf1
composed_00470,0.502880818,0.348575012,0.086371713,0.083963554,0.7852486,0.843355327,0.871248955,0.457117278,0.354344926,0.051835683,0.030031497,0.210359934,0.500116023,0.579280758,0.561726096,0.396276781,0.089358386,0.084593199,0.647562968,0.691375857,0.727615108,0.258013299,0.136525028,0.024104461,0.017796673,0.640017297,0.66078124,0.694927024,0.274016766,0.192941126,0.005396076,0.004722144,0.797969821,0.805895481,0.809950133,0.306928772,0.22187541,0.011271998,0.010248318,0.782822246,0.79949263,0.804873222,0.282755248,0.200957662,0.006403063,0.005519702,0.792454675,0.802648358,0.808848777,0.287857488,0.200307191,0.005216819,0.004591143,0.796715517,0.805687024,0.808954857,0.500940744,0.346781847,0.037175974,0.018424924,0.316454561,0.738806914,0.82038673
composed_00471,0.354377547,0.183918417,0.023830795,0.017325123,0.817762156,0.848029851,0.84696201,0.502647626,0.353650362,0.050091171,0.023170318,0.164358438,0.476296322,0.583131341,0.370318299,0.193117785,0.023324822,0.015522313,0.713383787,0.756040163,0.758663901,0.366369521,0.195857588,0.028054903,0.016856077,0.611383892,0.674107095,0.702156308,0.236983059,0.162287162,0.003142064,0.001795343,0.777801275,0.787477582,0.784057288,0.307808719,0.194832227,0.006011997,0.003819868,0.754230379,0.772461221,0.768539326,0.275195662,0.18200966,0.003718304,0.00204412,0.771912215,0.785925782,0.787175321,0.244937157,0.165198677,0.002791053,0.001462021,0.776608818,0.786608065,0.784617,0.671009571,0.394662963,0.048058899,0.023332509,0.247267871,0.692604746,0.792656423
composed_00472,1.294953574,0.502917712,1.624391673,1.600133225,0.61087943,0.765880734,0.827232469,1.056536057,0.529652685,0.471346572,0.427893788,0.180169721,0.478789584,0.588034061,1.32346829,0.513740509,1.623008575,1.596224343,0.468481105,0.619097638,0.679650012,0.787534361,0.321713986,0.194393159,0.183196862,0.488246271,0.551876904,0.601807751,0.425387787,0.271625774,0.057779997,0.053971477,0.663536665,0.736373211,0.755279284,0.338420376,0.216548898,0.043102977,0.039101131,0.676448858,0.726919539,0.747481087,0.38631901,0.252180156,0.064651225,0.060672604,0.665606204,0.74283353,0.761734749,0.322915785,0.206075601,0.027980847,0.024172251,0.696449112,0.73765593,0.758602836,1.110408176,0.523562399,0.32433244,0.286183219,0.282142139,0.666899988,0.779270102
composed_00474,2.967980971,0.764065462,0.382649392,0.362467385,0.420291401,0.529090053,0.576545919,3.122164742,0.745737553,0.116043624,0.100309907,0.073029337,0.289650239,0.382267353,3.008299019,0.775994091,0.454733211,0.429674068,0.369835133,0.496135468,0.55269721,3.123731526,0.710050157,0.148105533,0.13471629,0.365589758,0.45102926,0.492344846,0.432837884,0.233258237,0.03422627,0.031790647,0.611631634,0.6878812,0.703338109,0.607591592,0.247469804,0.042967793,0.040479128,0.557938218,0.610270046,0.618396865,0.486280213,0.270944632,0.036561076,0.03390519,0.618031645,0.717600809,0.719658129,0.552255175,0.268061602,0.033284124,0.030854112,0.612702627,0.697467484,0.719205022,2.966454424,0.73058538,0.086108329,0.067179008,0.178007494,0.475911347,0.557409864
composed_00477,2.21146919,0.758026265,0.84670971,0.784158965,0.324873589,0.429531715,0.53243702,2.00403905,0.720012724,0.335943636,0.287067905,0.13018323,0.330066806,0.440594688,2.224315029,0.764387447,1.008814192,0.932780847,0.256430405,0.384839725,0.507414647,2.170502319,0.640547718,0.226557229,0.200259053,0.35856415,0.449175704,0.530865519,0.641046458,0.30563888,0.093760503,0.084455649,0.512977788,0.574304291,0.592486442,0.784240266,0.342282366,0.105001898,0.095251732,0.489437038,0.54441479,0.574485203,0.98752573,0.366961412,0.091396324,0.08092833,0.48029265,0.527121372,0.553000348,1.126529993,0.411516245,0.094380985,0.08327499,0.464544929,0.517279613,0.54502791,2.00015778,0.707825312,0.24990138,0.207871403,0.184699687,0.430248359,0.524800536
composed_00478,1.04158912,0.530323602,0.241968109,0.236292101,0.499149361,0.588024435,0.64774041,0.779769965,0.417477256,0.271334775,0.244653676,0.155462766,0.424836431,0.524697471,1.076140285,0.549167907,0.243913813,0.236084168,0.432135498,0.521282613,0.577403718,0.877330184,0.397361346,0.196218815,0.183437515,0.393523341,0.462996016,0.509442264,0.180987294,0.124255099,0.09333013,0.090486704,0.737487204,0.771376341,0.779797973,0.215921772,0.139844361,0.125172257,0.122400856,0.710943216,0.752674932,0.766980528,0.181473005,0.122809176,0.090377597,0.087549089,0.73945929,0.769672641,0.776867439,0.213463754,0.139771195,0.13819876,0.135613841,0.699159339,0.757009228,0.77114622,0.866265364,0.448526067,0.21925468,0.19388656,0.274521384,0.597713328,0.677130205
composed_00479,1.32326896,0.696150839,1.165630773,1.155678175,0.351887132,0.455588587,0.5452478,1.294210588,0.697107149,0.205964241,0.197474651,0.09845019,0.237268644,0.352821116,1.325308885,0.697624251,1.384689825,1.372340493,0.321353192,0.434687145,0.534232922,1.466486875,0.654604476,0.309436638,0.304472661,0.282581923,0.338559267,0.397769503,0.52803686,0.327443391,0.099793074,0.097375789,0.507574599,0.62531727,0.607317015,0.423225847,0.284477381,0.096899535,0.094639493,0.52923498,0.609007364,0.602775825,0.598846237,0.361064648,0.103118938,0.100657718,0.491432851,0.641387081,0.617560603,0.396878342,0.250999984,0.073794351,0.071297955,0.576606203,0.643335188,0.621384453,1.455850955,0.743088253,0.232123199,0.209760522,0.148253739,0.369957129,0.467187307
composed_00480,1.009758969,0.525125356,0.202822049,0.170446462,0.518382693,0.589147982,0.634318627,0.905467418,0.53243755,0.101149773,0.066134472,0.136739755,0.363442265,0.47898855,1.033630055,0.544368751,0.219324046,0.180683869,0.474136138,0.575119588,0.642942569,0.975337415,0.488705734,0.185811761,0.148945462,0.445941224,0.546404895,0.615526331,0.489947639,0.28407002,0.024122475,0.017124111,0.464529678,0.533466909,0.5785751,0.465694581,0.290071833,0.025381792,0.01816797,0.458284916,0.527789329,0.576539887,0.584434712,0.331256736,0.022931222,0.015483867,0.486362013,0.555358559,0.608388134,0.499702695,0.287097766,0.02046719,0.013861283,0.487098938,0.552733856,0.603445016,1.06939622,0.544356081,0.101129447,0.0749748,0.239582251,0.522986748,0.626217555
composed_00481,0.827591103,0.492055674,0.256947976,0.250616004,0.524652548,0.693390222,0.76757396,0.664921474,0.424623331,0.169466566,0.152652398,0.166356959,0.446749395,0.558719011,0.85622857,0.511063189,0.257939854,0.250044775,0.436476895,0.598873,0.676736945,0.596577011,0.289325616,0.130465241,0.123823191,0.496688842,0.55265631,0.603228548,0.262183908,0.193071243,0.063144649,0.060436622,0.705517828,0.723920966,0.732946568,0.288407837,0.21742037,0.078346362,0.075498023,0.678816747,0.70631526,0.722811971,0.281861902,0.206693626,0.074827126,0.072023359,0.693877297,0.721670869,0.734517428,0.278006972,0.203561159,0.059747222,0.057071699,0.699926945,0.725491706,0.736812582,0.773539314,0.482692411,0.144391832,0.124449169,0.241097187,0.64892895,0.762864752
composed_00482,2.11740607,0.793735368,0.458050615,0.447055369,0.268681024,0.369765799,0.461758637,2.159217109,0.758761942,0.049543495,0.035485239,0.090819019,0.277933401,0.3389195,2.133462512,0.799527586,0.548426592,0.534517127,0.206602122,0.312527037,0.400142369,2.064252666,0.716605084,0.082303324,0.071074327,0.343846751,0.369437109,0.448790491,0.58302596,0.351717912,0.029934955,0.023989387,0.586582316,0.671927905,0.698187308,0.707346395,0.383742563,0.023152212,0.016824209,0.554562333,0.618716189,0.670126395,0.557960489,0.354104869,0.034421149,0.028265783,0.596734017,0.683342184,0.697931483,0.562858435,0.356157683,0.042932256,0.036881877,0.586635474,0.656816938,0.688206077,2.152055199,0.78078144,0.053179748,0.034177886,0.156371095,0.394431953,0.455071644
composed_00483,4.269957504,0.753705712,0.456473624,0.438709955,0.42743579,0.606626663,0.645061193,1.708050378,0.64170835,0.349536967,0.323029265,0.138749962,0.394407205,0.475436382,4.352376512,0.75518897,0.535795098,0.513006677,0.35377993,0.536860455,0.569946611,2.564422942,0.816672439,0.325089959,0.314470422,0.258512664,0.372881899,0.432419128,0.865989687,0.392953813,0.142645534,0.138716026,0.505461123,0.623116963,0.688845967,0.994879045,0.591757375,0.16115907,0.157505115,0.393030075,0.512649684,0.563724999,1.030041368,0.488182439,0.153068579,0.149067825,0.450602559,0.58650011,0.647769079,1.056493983,0.529988669,0.155298198,0.151400896,0.430163574,0.54994575,0.608195787,2.260012114,0.720069767,0.252377198,0.234342039,0.264162164,0.56411771,0.628639206
composed_00484,0.928475485,0.435083984,0.062155948,0.057871535,0.598635253,0.721206817,0.763834863,0.488365356,0.297783566,0.049981423,0.034048732,0.174347945,0.437521456,0.538840913,1.004546172,0.47109939,0.063983051,0.057931323,0.500572311,0.628532593,0.672211584,0.603890347,0.283195946,0.036024203,0.029316347,0.497673145,0.566321028,0.616008512,0.268151341,0.189961187,0.015746392,0.013803961,0.684514903,0.737157357,0.757917908,0.249228738,0.177413275,0.018154399,0.01626809,0.66871244,0.708974466,0.736189929,0.282927083,0.199086646,0.018556586,0.0166961,0.667795755,0.7318681,0.755251258,0.296249451,0.206549795,0.019339447,0.01745238,0.660913076,0.725607662,0.750222097,0.630433612,0.348941731,0.038708221,0.023784182,0.294581262,0.673328756,0.767777164
